Albánia,Tirana
Andorra,Andorra la Vella
Ausztria,Bécs
Belgium,Brüsszel
Bosznia-Hercegovina,Szarajevó
Bulgária,Szófia
Csehország,Prága
Dánia,Koppenhága
Egyesült Királyság,London
Észtország,Tallinn
Fehéroroszország,Minszk
Finnország,Helsinki
Franciaország,Párizs
Görögország,Athén
Hollandia,Amszterdam
Horvátország,Zágráb
Izland,Reykjavík
Írország,Dublin
Lengyelország,Varsó
Lettország,Riga
Liechtenstein,Vaduz
Litvánia,Vilnius
Luxemburg,Luxembourg
Észak-Macedónia,Szkopje
Magyarország,Budapest
Málta,Valletta
Moldova,Chișinău
Montenegró,Podgorica
Németország,Berlin
Norvégia,Oslo
Olaszország,Róma
Portugália,Lisszabon
Románia,Bukarest
Oroszország,Moszkva
San Marino,San Marino
Spanyolország,Madrid
Svájc,Bern
Svédország,Stockholm
Szerbia,Belgrád
Szlovákia,Pozsony
Szlovénia,Ljubljana
Törökország,Ankara
Ukrajna,Kijev
